,tl,tm,tr,ml,mm,mr,bl,bm,br,result
49,x,x,-,x,-,o,o,o,-,owin
50,x,x,-,x,-,o,o,o,o,owin
51,x,x,-,x,o,x,o,o,o,owin
52,x,x,-,x,o,-,-,o,o,owin
53,x,x,-,x,o,-,o,-,o,owin
54,x,x,-,x,o,-,o,o,-,owin
55,x,x,-,x,o,-,o,o,o,owin
56,x,x,-,x,o,o,x,o,o,xwin
57,x,x,-,x,o,o,-,-,o,owin
58,x,x,-,x,o,o,-,o,-,xwin
59,x,x,-,x,o,o,-,o,o,xwin
60,x,x,-,x,o,o,o,x,o,owin
61,x,x,-,x,o,o,o,-,-,owin
62,x,x,-,x,o,o,o,-,o,xwin
63,x,x,-,x,o,o,o,o,x,owin
64,x,x,-,x,o,o,o,o,-,xwin
65,x,x,-,-,x,-,o,o,o,owin
66,x,x,-,-,x,o,-,o,o,owin
67,x,x,-,-,x,o,o,-,o,owin
68,x,x,-,-,x,o,o,o,-,owin
69,x,x,-,-,x,o,o,o,o,owin
70,x,x,-,-,-,x,o,o,o,owin
71,x,x,-,-,-,-,-,o,o,owin
72,x,x,-,-,-,-,o,-,o,owin
73,x,x,-,-,-,-,o,o,-,owin
74,x,x,-,-,-,-,o,o,o,owin
75,x,x,-,-,-,o,x,o,o,owin
76,x,x,-,-,-,o,-,-,o,owin
77,x,x,-,-,-,o,-,o,-,owin
78,x,x,-,-,-,o,-,o,o,xwin
79,x,x,-,-,-,o,o,x,o,owin
80,x,x,-,-,-,o,o,-,-,owin
81,x,x,-,-,-,o,o,-,o,xwin
82,x,x,-,-,-,o,o,o,x,xwin
83,x,x,-,-,-,o,o,o,-,xwin
84,x,x,-,-,o,x,-,o,o,owin
85,x,x,-,-,o,x,o,-,o,owin
86,x,x,-,-,o,x,o,o,-,owin
87,x,x,-,-,o,x,o,o,o,owin
88,x,x,-,-,o,-,x,o,o,xwin
89,x,x,-,-,o,-,-,-,o,owin
90,x,x,-,-,o,-,-,o,-,draw
91,x,x,-,-,o,-,-,o,o,xwin
92,x,x,-,-,o,-,o,x,o,owin
93,x,x,-,-,o,-,o,-,-,owin
94,x,x,-,-,o,-,o,-,o,xwin
95,x,x,-,-,o,-,o,o,x,owin
96,x,x,-,-,o,-,o,o,-,xwin
97,x,x,-,-,o,o,x,-,o,owin
98,x,x,-,-,o,o,x,o,-,owin
99,x,x,-,-,o,o,x,o,o,xwin
100,x,x,-,-,o,o,-,x,o,owin
101,x,x,-,-,o,o,-,-,-,owin
102,x,x,-,-,o,o,-,-,o,xwin
103,x,x,-,-,o,o,-,o,x,owin
104,x,x,-,-,o,o,-,o,-,xwin
105,x,x,-,-,o,o,o,x,-,owin
106,x,x,-,-,o,o,o,x,o,xwin
107,x,x,-,-,o,o,o,-,x,owin
108,x,x,-,-,o,o,o,-,-,xwin
109,x,x,-,-,o,o,o,o,x,xwin
110,x,x,-,o,x,x,o,o,o,owin
111,x,x,-,o,x,-,-,o,o,owin
112,x,x,-,o,x,-,o,-,o,owin
113,x,x,-,o,x,-,o,o,-,owin
114,x,x,-,o,x,-,o,o,o,owin
115,x,x,-,o,x,o,x,o,o,owin
116,x,x,-,o,x,o,-,-,o,owin
117,x,x,-,o,x,o,-,o,-,xwin
118,x,x,-,o,x,o,-,o,o,xwin
119,x,x,-,o,x,o,o,x,o,xwin
120,x,x,-,o,x,o,o,-,-,xwin
121,x,x,-,o,x,o,o,-,o,xwin
122,x,x,-,o,x,o,o,o,x,xwin
123,x,x,-,o,x,o,o,o,-,xwin
124,x,x,-,o,-,x,-,o,o,owin
125,x,x,-,o,-,x,o,-,o,owin
126,x,x,-,o,-,x,o,o,-,owin
127,x,x,-,o,-,x,o,o,o,owin
128,x,x,-,o,-,-,x,o,o,draw
129,x,x,-,o,-,-,-,-,o,owin
130,x,x,-,o,-,-,-,o,-,owin
131,x,x,-,o,-,-,-,o,o,xwin
132,x,x,-,o,-,-,o,x,o,xwin
133,x,x,-,o,-,-,o,-,-,xwin
134,x,x,-,o,-,-,o,-,o,xwin
135,x,x,-,o,-,-,o,o,x,xwin
136,x,x,-,o,-,-,o,o,-,xwin
137,x,x,-,o,-,o,x,-,o,owin
138,x,x,-,o,-,o,x,o,-,owin
139,x,x,-,o,-,o,x,o,o,xwin
140,x,x,-,o,-,o,-,x,o,owin
141,x,x,-,o,-,o,-,-,-,owin
142,x,x,-,o,-,o,-,-,o,xwin
143,x,x,-,o,-,o,-,o,x,owin
144,x,x,-,o,-,o,-,o,-,xwin
145,x,x,-,o,-,o,o,x,-,owin
146,x,x,-,o,-,o,o,x,o,xwin
147,x,x,-,o,-,o,o,-,x,owin
148,x,x,-,o,-,o,o,-,-,xwin
149,x,x,-,o,-,o,o,o,x,xwin
150,x,x,-,o,o,x,x,o,o,draw
151,x,x,-,o,o,x,-,-,o,draw
152,x,x,-,o,o,x,-,o,-,draw
153,x,x,-,o,o,x,-,o,o,xwin
154,x,x,-,o,o,x,o,x,o,owin
155,x,x,-,o,o,x,o,-,-,owin
156,x,x,-,o,o,x,o,-,o,xwin
157,x,x,-,o,o,x,o,o,x,owin
158,x,x,-,o,o,x,o,o,-,xwin
159,x,x,-,o,o,-,x,-,o,owin
160,x,x,-,o,o,-,x,o,-,owin
161,x,x,-,o,o,-,x,o,o,xwin
162,x,x,-,o,o,-,-,x,o,owin
163,x,x,-,o,o,-,-,-,-,owin
164,x,x,-,o,o,-,-,-,o,xwin
165,x,x,-,o,o,-,-,o,x,owin
166,x,x,-,o,o,-,-,o,-,xwin
167,x,x,-,o,o,-,o,x,-,owin
168,x,x,-,o,o,-,o,x,o,xwin
169,x,x,-,o,o,-,o,-,x,owin
170,x,x,-,o,o,-,o,-,-,xwin
171,x,x,-,o,o,-,o,o,x,xwin
172,x,x,-,o,o,o,x,x,o,owin
173,x,x,-,o,o,o,x,-,-,owin
174,x,x,-,o,o,o,x,-,o,owin
175,x,x,-,o,o,o,x,o,x,owin
176,x,x,-,o,o,o,x,o,-,owin
177,x,x,-,o,o,o,-,x,-,owin
178,x,x,-,o,o,o,-,x,o,owin
179,x,x,-,o,o,o,-,-,x,owin
180,x,x,-,o,o,o,-,-,-,owin
181,x,x,-,o,o,o,-,o,x,owin
182,x,x,-,o,o,o,o,x,x,owin
183,x,x,-,o,o,o,o,x,-,owin
184,x,x,-,o,o,o,o,-,x,owin
185,x,x,o,x,x,-,o,o,o,owin
186,x,x,o,x,x,o,-,o,o,owin
187,x,x,o,x,x,o,o,-,o,owin
188,x,x,o,x,x,o,o,o,-,owin
189,x,x,o,x,x,o,o,o,o,owin
190,x,x,o,x,-,x,o,o,o,owin
191,x,x,o,x,-,-,-,o,o,owin
192,x,x,o,x,-,-,o,-,o,owin
193,x,x,o,x,-,-,o,o,-,owin
194,x,x,o,x,-,-,o,o,o,owin
195,x,x,o,x,-,o,-,-,o,owin
196,x,x,o,x,-,o,-,o,-,owin
197,x,x,o,x,-,o,-,o,o,owin
198,x,x,o,x,-,o,o,x,o,owin
199,x,x,o,x,-,o,o,-,-,owin
200,x,x,o,x,-,o,o,-,o,owin
201,x,x,o,x,-,o,o,o,x,owin
202,x,x,o,x,-,o,o,o,-,owin
203,x,x,o,x,o,x,-,o,o,owin
204,x,x,o,x,o,x,o,-,o,owin
205,x,x,o,x,o,x,o,o,-,owin
206,x,x,o,x,o,x,o,o,o,owin
207,x,x,o,x,o,-,x,o,o,xwin
208,x,x,o,x,o,-,-,-,o,owin
209,x,x,o,x,o,-,-,o,-,owin
210,x,x,o,x,o,-,-,o,o,xwin
211,x,x,o,x,o,-,o,x,o,owin
212,x,x,o,x,o,-,o,-,-,owin
213,x,x,o,x,o,-,o,-,o,owin
214,x,x,o,x,o,-,o,o,x,owin
215,x,x,o,x,o,-,o,o,-,owin
216,x,x,o,x,o,o,x,o,-,xwin
217,x,x,o,x,o,o,-,x,o,owin
218,x,x,o,x,o,o,-,-,-,owin
219,x,x,o,x,o,o,-,-,o,owin
220,x,x,o,x,o,o,-,o,x,owin
221,x,x,o,x,o,o,-,o,-,xwin
222,x,x,o,x,o,o,o,x,-,owin
223,x,x,o,x,o,o,o,x,o,owin
224,x,x,o,x,o,o,o,-,x,owin
225,x,x,o,x,o,o,o,-,-,owin
226,x,x,o,x,o,o,o,o,x,owin
227,x,x,o,-,x,x,o,o,o,owin
228,x,x,o,-,x,-,-,o,o,owin
229,x,x,o,-,x,-,o,-,o,owin
230,x,x,o,-,x,-,o,o,-,owin
231,x,x,o,-,x,-,o,o,o,owin
232,x,x,o,-,x,o,x,o,o,owin
233,x,x,o,-,x,o,-,-,o,owin
234,x,x,o,-,x,o,-,o,-,owin
235,x,x,o,-,x,o,-,o,o,owin
236,x,x,o,-,x,o,o,-,-,owin
237,x,x,o,-,x,o,o,-,o,owin
238,x,x,o,-,x,o,o,o,x,xwin
239,x,x,o,-,x,o,o,o,-,xwin
240,x,x,o,-,-,x,-,o,o,owin
241,x,x,o,-,-,x,o,-,o,owin
242,x,x,o,-,-,x,o,o,-,owin
243,x,x,o,-,-,x,o,o,o,owin
244,x,x,o,-,-,-,x,o,o,owin
245,x,x,o,-,-,-,-,-,o,owin
246,x,x,o,-,-,-,-,o,-,owin
247,x,x,o,-,-,-,-,o,o,owin
248,x,x,o,-,-,-,o,x,o,owin
249,x,x,o,-,-,-,o,-,-,owin
250,x,x,o,-,-,-,o,-,o,owin
251,x,x,o,-,-,-,o,o,x,owin
252,x,x,o,-,-,-,o,o,-,owin
253,x,x,o,-,-,o,x,-,o,owin
254,x,x,o,-,-,o,x,o,-,owin
255,x,x,o,-,-,o,x,o,o,owin
256,x,x,o,-,-,o,-,x,o,owin
257,x,x,o,-,-,o,-,-,-,owin
258,x,x,o,-,-,o,-,-,o,owin
259,x,x,o,-,-,o,-,o,x,owin
260,x,x,o,-,-,o,-,o,-,owin
261,x,x,o,-,-,o,o,x,-,owin
262,x,x,o,-,-,o,o,x,o,owin
263,x,x,o,-,-,o,o,-,x,owin
264,x,x,o,-,-,o,o,-,-,owin
265,x,x,o,-,-,o,o,o,x,xwin
266,x,x,o,-,o,x,x,o,o,draw
267,x,x,o,-,o,x,-,-,o,owin
268,x,x,o,-,o,x,-,o,-,owin
269,x,x,o,-,o,x,-,o,o,draw
270,x,x,o,-,o,x,o,x,o,owin
271,x,x,o,-,o,x,o,-,-,owin
272,x,x,o,-,o,x,o,-,o,owin
273,x,x,o,-,o,x,o,o,x,owin
274,x,x,o,-,o,x,o,o,-,owin
275,x,x,o,-,o,-,x,-,o,owin
276,x,x,o,-,o,-,x,o,-,draw
277,x,x,o,-,o,-,x,o,o,xwin
278,x,x,o,-,o,-,-,x,o,owin
279,x,x,o,-,o,-,-,-,-,owin
280,x,x,o,-,o,-,-,-,o,owin
281,x,x,o,-,o,-,-,o,x,owin
282,x,x,o,-,o,-,-,o,-,draw
283,x,x,o,-,o,-,o,x,-,owin
284,x,x,o,-,o,-,o,x,o,owin
285,x,x,o,-,o,-,o,-,x,owin
286,x,x,o,-,o,-,o,-,-,owin
287,x,x,o,-,o,-,o,o,x,owin
288,x,x,o,-,o,o,x,x,o,owin
289,x,x,o,-,o,o,x,-,-,owin
290,x,x,o,-,o,o,x,-,o,owin
291,x,x,o,-,o,o,x,o,x,owin
292,x,x,o,-,o,o,x,o,-,xwin
293,x,x,o,-,o,o,-,x,-,owin
294,x,x,o,-,o,o,-,x,o,owin
295,x,x,o,-,o,o,-,-,x,owin
296,x,x,o,-,o,o,-,-,-,owin
297,x,x,o,-,o,o,-,o,x,owin
298,x,x,o,-,o,o,o,x,x,owin
299,x,x,o,-,o,o,o,x,-,owin
300,x,x,o,-,o,o,o,-,x,owin
301,x,x,o,o,x,x,-,o,o,owin
302,x,x,o,o,x,x,o,-,o,owin
303,x,x,o,o,x,x,o,o,-,owin
304,x,x,o,o,x,x,o,o,o,owin
305,x,x,o,o,x,-,x,o,o,owin
306,x,x,o,o,x,-,-,-,o,owin
307,x,x,o,o,x,-,-,o,-,owin
308,x,x,o,o,x,-,-,o,o,owin
309,x,x,o,o,x,-,o,x,o,xwin
310,x,x,o,o,x,-,o,-,-,xwin
311,x,x,o,o,x,-,o,-,o,xwin
312,x,x,o,o,x,-,o,o,x,xwin
313,x,x,o,o,x,-,o,o,-,xwin
314,x,x,o,o,x,o,x,-,o,owin
315,x,x,o,o,x,o,x,o,-,owin
316,x,x,o,o,x,o,x,o,o,owin
317,x,x,o,o,x,o,-,-,-,owin
318,x,x,o,o,x,o,-,-,o,owin
319,x,x,o,o,x,o,-,o,x,xwin
320,x,x,o,o,x,o,-,o,-,xwin
321,x,x,o,o,x,o,o,x,-,xwin
322,x,x,o,o,x,o,o,-,x,xwin
323,x,x,o,o,x,o,o,-,-,xwin
324,x,x,o,o,x,o,o,o,x,xwin
325,x,x,o,o,-,x,x,o,o,draw
326,x,x,o,o,-,x,-,-,o,owin
327,x,x,o,o,-,x,-,o,-,owin
328,x,x,o,o,-,x,-,o,o,draw
329,x,x,o,o,-,x,o,x,o,owin
330,x,x,o,o,-,x,o,-,-,owin
331,x,x,o,o,-,x,o,-,o,owin
332,x,x,o,o,-,x,o,o,x,owin
333,x,x,o,o,-,x,o,o,-,owin
334,x,x,o,o,-,-,x,-,o,owin
335,x,x,o,o,-,-,x,o,-,owin
336,x,x,o,o,-,-,x,o,o,draw
337,x,x,o,o,-,-,-,x,o,owin
338,x,x,o,o,-,-,-,-,-,owin
339,x,x,o,o,-,-,-,-,o,owin
340,x,x,o,o,-,-,-,o,x,owin
341,x,x,o,o,-,-,-,o,-,owin
342,x,x,o,o,-,-,o,x,-,owin
343,x,x,o,o,-,-,o,x,o,xwin
344,x,x,o,o,-,-,o,-,x,owin
345,x,x,o,o,-,-,o,-,-,xwin
346,x,x,o,o,-,-,o,o,x,xwin
347,x,x,o,o,-,o,x,x,o,owin
348,x,x,o,o,-,o,x,-,-,owin
349,x,x,o,o,-,o,x,-,o,owin
350,x,x,o,o,-,o,x,o,x,owin
351,x,x,o,o,-,o,x,o,-,owin
352,x,x,o,o,-,o,-,x,-,owin
353,x,x,o,o,-,o,-,x,o,owin
354,x,x,o,o,-,o,-,-,x,owin
355,x,x,o,o,-,o,-,-,-,owin
356,x,x,o,o,-,o,-,o,x,xwin
357,x,x,o,o,-,o,o,x,x,owin
358,x,x,o,o,-,o,o,x,-,xwin
359,x,x,o,o,-,o,o,-,x,xwin
360,x,x,o,o,o,x,x,-,o,draw
361,x,x,o,o,o,x,x,o,-,draw
362,x,x,o,o,o,x,x,o,o,draw
363,x,x,o,o,o,x,-,x,o,owin
364,x,x,o,o,o,x,-,-,-,owin
365,x,x,o,o,o,x,-,-,o,draw
366,x,x,o,o,o,x,-,o,x,owin
367,x,x,o,o,o,x,-,o,-,draw
368,x,x,o,o,o,x,o,x,-,owin
369,x,x,o,o,o,x,o,x,o,owin
370,x,x,o,o,o,x,o,-,x,owin
371,x,x,o,o,o,x,o,-,-,owin
372,x,x,o,o,o,x,o,o,x,owin
373,x,x,o,o,o,-,x,x,o,owin
374,x,x,o,o,o,-,x,-,-,owin
375,x,x,o,o,o,-,x,-,o,draw
376,x,x,o,o,o,-,x,o,x,owin
377,x,x,o,o,o,-,x,o,-,draw
378,x,x,o,o,o,-,-,x,-,owin
379,x,x,o,o,o,-,-,x,o,owin
380,x,x,o,o,o,-,-,-,x,owin
381,x,x,o,o,o,-,-,-,-,owin
382,x,x,o,o,o,-,-,o,x,owin
383,x,x,o,o,o,-,o,x,x,owin
384,x,x,o,o,o,-,o,x,-,owin
385,x,x,o,o,o,-,o,-,x,owin
386,x,x,o,o,o,o,x,x,-,owin
387,x,x,o,o,o,o,x,x,o,owin
388,x,x,o,o,o,o,x,-,x,owin
389,x,x,o,o,o,o,x,-,-,owin
390,x,x,o,o,o,o,x,o,x,owin
391,x,x,o,o,o,o,-,x,x,owin
392,x,x,o,o,o,o,-,x,-,owin
393,x,x,o,o,o,o,-,-,x,owin
394,x,x,o,o,o,o,o,x,x,owin
395,x,-,x,x,x,o,o,o,o,owin
396,x,-,x,x,-,-,o,o,o,owin
397,x,-,x,x,-,o,-,o,o,owin
398,x,-,x,x,-,o,o,-,o,owin
399,x,-,x,x,-,o,o,o,-,owin
400,x,-,x,x,-,o,o,o,o,owin
401,x,-,x,x,o,x,o,o,o,owin
402,x,-,x,x,o,-,-,o,o,owin
403,x,-,x,x,o,-,o,-,o,owin
404,x,-,x,x,o,-,o,o,-,owin
405,x,-,x,x,o,-,o,o,o,owin
406,x,-,x,x,o,o,x,o,o,xwin
407,x,-,x,x,o,o,-,-,o,xwin
408,x,-,x,x,o,o,-,o,-,owin
409,x,-,x,x,o,o,-,o,o,xwin
410,x,-,x,x,o,o,o,x,o,draw
411,x,-,x,x,o,o,o,-,-,draw
412,x,-,x,x,o,o,o,-,o,xwin
413,x,-,x,x,o,o,o,o,x,owin
414,x,-,x,x,o,o,o,o,-,xwin
415,x,-,x,-,x,-,o,o,o,owin
416,x,-,x,-,x,o,-,o,o,owin
417,x,-,x,-,x,o,o,-,o,owin
418,x,-,x,-,x,o,o,o,-,owin
419,x,-,x,-,x,o,o,o,o,owin
420,x,-,x,-,-,x,o,o,o,owin
421,x,-,x,-,-,-,-,o,o,owin
422,x,-,x,-,-,-,o,-,o,owin
423,x,-,x,-,-,-,o,o,-,owin
424,x,-,x,-,-,-,o,o,o,owin
425,x,-,x,-,-,o,x,o,o,xwin
426,x,-,x,-,-,o,-,-,o,xwin
427,x,-,x,-,-,o,-,o,-,xwin
428,x,-,x,-,-,o,-,o,o,xwin
429,x,-,x,-,-,o,o,x,o,draw
430,x,-,x,-,-,o,o,-,-,draw
431,x,-,x,-,-,o,o,-,o,xwin
432,x,-,x,-,-,o,o,o,x,xwin
433,x,-,x,-,-,o,o,o,-,xwin
434,x,-,x,-,o,x,-,o,o,owin
435,x,-,x,-,o,x,o,-,o,owin
436,x,-,x,-,o,x,o,o,-,owin
437,x,-,x,-,o,x,o,o,o,owin
438,x,-,x,-,o,-,x,o,o,owin
439,x,-,x,-,o,-,-,-,o,draw
440,x,-,x,-,o,-,-,o,-,owin
441,x,-,x,-,o,-,-,o,o,xwin
442,x,-,x,-,o,-,o,x,o,draw
443,x,-,x,-,o,-,o,-,-,draw
444,x,-,x,-,o,-,o,-,o,xwin
445,x,-,x,-,o,-,o,o,x,owin
446,x,-,x,-,o,-,o,o,-,xwin
447,x,-,x,-,o,o,x,-,o,owin
448,x,-,x,-,o,o,x,o,-,owin
449,x,-,x,-,o,o,x,o,o,xwin
450,x,-,x,-,o,o,-,x,o,owin
451,x,-,x,-,o,o,-,-,-,owin
452,x,-,x,-,o,o,-,-,o,xwin
453,x,-,x,-,o,o,-,o,x,owin
454,x,-,x,-,o,o,-,o,-,xwin
455,x,-,x,-,o,o,o,x,-,owin
456,x,-,x,-,o,o,o,x,o,xwin
457,x,-,x,-,o,o,o,-,x,owin
458,x,-,x,-,o,o,o,-,-,xwin
459,x,-,x,-,o,o,o,o,x,xwin
460,x,-,x,o,x,x,o,o,o,owin
461,x,-,x,o,x,-,-,o,o,owin
462,x,-,x,o,x,-,o,-,o,owin
463,x,-,x,o,x,-,o,o,-,owin
464,x,-,x,o,x,-,o,o,o,owin
465,x,-,x,o,x,o,x,o,o,xwin
466,x,-,x,o,x,o,-,-,o,xwin
467,x,-,x,o,x,o,-,o,-,xwin
468,x,-,x,o,x,o,-,o,o,xwin
469,x,-,x,o,x,o,o,x,o,draw
470,x,-,x,o,x,o,o,-,-,xwin
471,x,-,x,o,x,o,o,-,o,xwin
472,x,-,x,o,x,o,o,o,x,xwin
473,x,-,x,o,x,o,o,o,-,xwin
474,x,-,x,o,-,x,-,o,o,owin
475,x,-,x,o,-,x,o,-,o,owin
476,x,-,x,o,-,x,o,o,-,owin
477,x,-,x,o,-,x,o,o,o,owin
478,x,-,x,o,-,-,x,o,o,xwin
479,x,-,x,o,-,-,-,-,o,draw
480,x,-,x,o,-,-,-,o,-,xwin
481,x,-,x,o,-,-,-,o,o,xwin
482,x,-,x,o,-,-,o,x,o,draw
483,x,-,x,o,-,-,o,-,-,xwin
484,x,-,x,o,-,-,o,-,o,xwin
485,x,-,x,o,-,-,o,o,x,xwin
486,x,-,x,o,-,-,o,o,-,xwin
487,x,-,x,o,-,o,x,-,o,owin
488,x,-,x,o,-,o,x,o,-,owin
489,x,-,x,o,-,o,x,o,o,xwin
490,x,-,x,o,-,o,-,x,o,owin
491,x,-,x,o,-,o,-,-,-,owin
492,x,-,x,o,-,o,-,-,o,xwin
493,x,-,x,o,-,o,-,o,x,owin
494,x,-,x,o,-,o,-,o,-,xwin
495,x,-,x,o,-,o,o,x,-,owin
496,x,-,x,o,-,o,o,x,o,xwin
497,x,-,x,o,-,o,o,-,x,owin
498,x,-,x,o,-,o,o,-,-,xwin
499,x,-,x,o,-,o,o,o,x,xwin
500,x,-,x,o,o,x,x,o,o,owin
501,x,-,x,o,o,x,-,-,o,draw
502,x,-,x,o,o,x,-,o,-,owin
503,x,-,x,o,o,x,-,o,o,xwin
504,x,-,x,o,o,x,o,x,o,draw
505,x,-,x,o,o,x,o,-,-,xwin
506,x,-,x,o,o,x,o,-,o,xwin
507,x,-,x,o,o,x,o,o,x,xwin
508,x,-,x,o,o,x,o,o,-,xwin
509,x,-,x,o,o,-,x,-,o,owin
510,x,-,x,o,o,-,x,o,-,owin
511,x,-,x,o,o,-,x,o,o,xwin
512,x,-,x,o,o,-,-,x,o,owin
513,x,-,x,o,o,-,-,-,-,owin
514,x,-,x,o,o,-,-,-,o,xwin
515,x,-,x,o,o,-,-,o,x,owin
516,x,-,x,o,o,-,-,o,-,xwin
517,x,-,x,o,o,-,o,x,-,owin
518,x,-,x,o,o,-,o,x,o,xwin
519,x,-,x,o,o,-,o,-,x,owin
520,x,-,x,o,o,-,o,-,-,xwin
521,x,-,x,o,o,-,o,o,x,xwin
522,x,-,x,o,o,o,x,x,o,owin
523,x,-,x,o,o,o,x,-,-,owin
524,x,-,x,o,o,o,x,-,o,owin
525,x,-,x,o,o,o,x,o,x,owin
526,x,-,x,o,o,o,x,o,-,owin
527,x,-,x,o,o,o,-,x,-,owin
528,x,-,x,o,o,o,-,x,o,owin
529,x,-,x,o,o,o,-,-,x,owin
530,x,-,x,o,o,o,-,-,-,owin
531,x,-,x,o,o,o,-,o,x,owin
532,x,-,x,o,o,o,o,x,x,owin
533,x,-,x,o,o,o,o,x,-,owin
534,x,-,x,o,o,o,o,-,x,owin
535,x,-,-,x,x,-,o,o,o,owin
536,x,-,-,x,x,o,-,o,o,owin
537,x,-,-,x,x,o,o,-,o,owin
538,x,-,-,x,x,o,o,o,-,owin
539,x,-,-,x,x,o,o,o,o,owin
540,x,-,-,x,-,x,o,o,o,owin
541,x,-,-,x,-,-,-,o,o,owin
542,x,-,-,x,-,-,o,-,o,owin
543,x,-,-,x,-,-,o,o,-,owin
544,x,-,-,x,-,-,o,o,o,owin
545,x,-,-,x,-,o,x,o,o,xwin
546,x,-,-,x,-,o,-,-,o,owin
547,x,-,-,x,-,o,-,o,-,owin
548,x,-,-,x,-,o,-,o,o,xwin
549,x,-,-,x,-,o,o,x,o,owin
550,x,-,-,x,-,o,o,-,-,owin
551,x,-,-,x,-,o,o,-,o,owin
552,x,-,-,x,-,o,o,o,x,owin
553,x,-,-,x,-,o,o,o,-,owin
554,x,-,-,x,o,x,-,o,o,owin
555,x,-,-,x,o,x,o,-,o,owin
556,x,-,-,x,o,x,o,o,-,owin
557,x,-,-,x,o,x,o,o,o,owin
558,x,-,-,x,o,-,x,o,o,xwin
559,x,-,-,x,o,-,-,-,o,owin
560,x,-,-,x,o,-,-,o,-,owin
561,x,-,-,x,o,-,-,o,o,xwin
562,x,-,-,x,o,-,o,x,o,owin
563,x,-,-,x,o,-,o,-,-,owin
564,x,-,-,x,o,-,o,-,o,owin
565,x,-,-,x,o,-,o,o,x,owin
566,x,-,-,x,o,-,o,o,-,owin
567,x,-,-,x,o,o,x,-,o,xwin
568,x,-,-,x,o,o,x,o,-,xwin
569,x,-,-,x,o,o,x,o,o,xwin
570,x,-,-,x,o,o,-,x,o,owin
571,x,-,-,x,o,o,-,-,-,draw
572,x,-,-,x,o,o,-,-,o,xwin
573,x,-,-,x,o,o,-,o,x,owin
574,x,-,-,x,o,o,-,o,-,xwin
575,x,-,-,x,o,o,o,x,-,owin
576,x,-,-,x,o,o,o,x,o,draw
577,x,-,-,x,o,o,o,-,x,owin
578,x,-,-,x,o,o,o,-,-,draw
579,x,-,-,x,o,o,o,o,x,owin
580,x,-,-,-,x,x,o,o,o,owin
581,x,-,-,-,x,-,-,o,o,owin
582,x,-,-,-,x,-,o,-,o,owin
583,x,-,-,-,x,-,o,o,-,owin
584,x,-,-,-,x,-,o,o,o,owin
585,x,-,-,-,x,o,x,o,o,owin
586,x,-,-,-,x,o,-,-,o,owin
587,x,-,-,-,x,o,-,o,-,owin
588,x,-,-,-,x,o,-,o,o,owin
589,x,-,-,-,x,o,o,x,o,owin
590,x,-,-,-,x,o,o,-,-,owin
591,x,-,-,-,x,o,o,-,o,owin
592,x,-,-,-,x,o,o,o,x,xwin
593,x,-,-,-,x,o,o,o,-,xwin
594,x,-,-,-,-,x,-,o,o,owin
595,x,-,-,-,-,x,o,-,o,owin
596,x,-,-,-,-,x,o,o,-,owin
597,x,-,-,-,-,x,o,o,o,owin
